commit_id,num_lines_added,num_lines_deleted,num_lines_modified,files_changed,Type
3469c1fa3a,0,0,1,1,BFC
e10f6922eb,460,6,49,19,BIC
9db1834941,40,2,55,1,BFC
c3d738c6ae,168,55,136,7,BIC
38a6183b5c,13,1,0,1,BFC
fb9e407cab,149,0,4,2,BIC
bd6eecce68,0,0,1,1,BFC
8e5eeb4dea,20,0,5,3,BIC
97f3089bad,19,8,18,1,BFC
20056273ec,367,15,60,14,BIC
7abe374dd5,8,0,1,1,BFC
73ac59fc33,362,149,42,7,BFC
1621a53dc5,616,6,90,8,BFC
365c74b53c,196,7,84,8,BFC
9f663c7dd2,0,0,0,0,BFC
7110b855ba,0,0,0,0,BIC
9c39acb06a,0,0,0,0,BFC
af82db1188,0,0,4,2,BFC
18f68097768,6,0,1,1,BFC
fb6b38d67d8,8,50,24,1,BIC
6f6e170325d,95,44,19,7,BFC
aeb364d8b57,183,43,21,9,BIC
2b19054c92f,12,0,2,1,BFC
e7380b4f9c4,88,1,11,4,BIC
0f0c6415af4,0,0,2,1,BFC
28023b77595,34,0,4,2,BIC
3df3fa396c7,1,0,1,1,BFC
860d49aa6ae,389,48,530,3,BIC
47782cbf4a6,60,91,37,5,BFC
932ae036acb,1002,8,83,14,BIC
7e08c0f23f5,3,0,2,1,BIC
4008b37b744,0,0,3,1,BFC
e28edbffe15,22,9,25,7,BIC
c9ace69cff4,0,1,2,1,BFC
776eb119acc,13,10,11,5,BIC
29eadf1b8f7,6,0,8,1,BFC
5b361069345,10,0,8,1,BIC
4ab49a43652,0,0,0,0,BFC
21d10ccc6e4,66,14,69,8,BIC
bcd402ae380,2,0,25,5,BFC
48d62fad80a,14,0,0,2,BIC
6e0a9f92fe0,1,4,1,1,BFC
fc2ed4a1f9a,108,2,23,2,BIC
cffee556e4d,0,0,1,1,BFC
6d9820ab3d6,51,0,0,2,BFC
ad95cb1f0d3,8,0,10,1,BIC
3ebc992e588,36,1,23,1,BIC
2d16f40dab2,5,1,1,1,BFC
c6c0f4eb25e,1,1,0,1,BIC
dc065dd64ca,128,1,1,2,BFC
3da0bedaec3,41,0,4,2,BIC
2088309d665,65,0,3,4,BFC
b73903f6a7d,14,0,2,2,BIC
4a4dd27571c,8,54,20,2,BFC
e24071be0ae,574,0,10,2,BIC
957f0311a16,7,1,2,1,BFC
df31c446bfa,242,9,29,6,BIC
93258459faf,3,9,0,1,BFC
22ff9e68d1d,11,2,6,3,BIC
32bbc440c1d,1,1,5,2,BFC
04cc1d614d0,0,0,1,1,BFC
2a0147f8f69,135,13,37,9,BIC
f8a245c2731,24,0,4,1,BFC
cc8a2a29f18,58,10,15,2,BIC
0ef7ff47d5d,1,0,0,1,BFC
d96bbe152cf,25,0,25,2,BIC
42beb56a2ed,13,0,7,2,BFC
f95ec3f5bf1,23,0,1,1,BIC
8df7e7deeca,30,5,14,2,BFC
95f9a515aac,528,271,8,9,BIC
1758f3146ae,7,2,11,1,BFC
54217259072,14,0,2,1,BIC
3f685cd5714,7,0,1,1,BFC
ca0827a8623,0,0,1,1,BIC
d1dfa5f9234,10,0,6,1,BFC
7d1b804d3a3,130,3,31,3,BFC
9180eca5925,77,2,12,2,BIC
a2a5cb60b09,27,7,10,4,BFC
4b3a6b87221,900,0,1,5,BIC
f5ef2db5003,2,0,1,1,BFC
7eb7b3b723c,157,22,31,4,BIC
3d191cc1524,2,4,5,1,BFC
76be82bc041,58,11,20,2,BIC
f216f22915f,13,17,6,3,BFC
8767e4cde17,741,20,131,6,BIC
b9d49761f72,52,2,5,3,BFC
10f9f5101c4,38,38,15,6,BIC
2034315763c,7,2,4,2,BFC
a46933e8ce4,3,0,7,1,BIC
b970446b2c5,0,0,1,1,BFC
0bdd263d82a,24,0,1,8,BIC
f5312aedb9f,55,5,22,4,BFC
5f9b4c14a17,421,81,169,8,BIC
bd76d9a8272,46,0,1,2,BFC
06d0109314b,28,1,11,2,BIC
464470e715c,77,8,25,2,BFC
fdba5fac263,420,128,29,9,BIC
20176840f62,14,0,1,2,BIC
dfa78484633,0,0,30,12,BFC
c59af2fdf8f,639,110,276,18,BIC
92d8f371553,2,0,3,1,BFC
a9a8297cad4,83,89,128,3,BIC
61c0bedf775,3,0,1,1,BFC
fd2f22adec5,87,4,49,4,BIC
f5e0bd30fde,27,0,11,4,BFC
9097e2efe4c,0,5,1,1,BIC
03060075c53,10,25,6,2,BFC
644548f2017,142,8,14,2,BIC
90e07d55ace,86,35,39,4,BFC
e4b8d9e72d5,45,109,7,6,BIC
3807884263f,135,0,0,2,BIC
f1c19b9365c,42,5,12,3,BFC
1e06299df82,44,0,3,2,BIC
e3242b95b35,2,6,6,3,BFC
4492b9e7302,0,14,2,1,BFC
67c006c322c,23,57,13,4,BIC
ef1fc51852c,12,44,19,2,BFC
6a059dc40e0,46,0,2,2,BIC
91e832e7b47,113,70,7,5,BFC
18c5bc86ca2,93,9,23,10,BIC
e213a4e828,100,0,2,2,BFC
a26f3734c6,184,1,58,6,BIC
ec0c376c45,72,0,30,2,BFC
f818ff09d8,77,0,0,2,BIC
e9a5866777,83,5,11,3,BIC
390fbf21d2,30,6,4,2,BFC
7a65a1823a,192,30,114,39,BIC
1904003fac,0,0,5,1,BFC
e92a91ed18,492,22,50,8,BIC
0d31aa07b3,0,0,0,0,BIC
317d311e7a,17,0,0,2,BIC
7a86d09aea,6,1,3,3,BFC
48cca13075,20,1,1,2,BIC
1e79c3b98e,29,0,2,2,BFC
3597bc4bf4,13,11,36,3,BIC
4ff0b2f82c,404,621,321,132,BIC
4c5606ee29,201,275,282,54,BIC
5ba9ca4be2,0,0,1,1,BFC
612d9227de,256,3,4,3,BIC
826a172340,6,0,4,2,BFC
5a2d0bc654,711,465,89,41,BIC
8f54a18e1a,86,0,25,8,BFC
b549619dc8,13,0,10,3,BIC
376b331651,96,3,9,5,BFC
a8032b0637,156,0,0,2,BIC
1d603a9f87,8,1,4,1,BFC
c1ec7aa8df,8,0,5,2,BIC
64dfbfdfb2,4,0,0,1,BIC
b895ebde43,1315,1199,195,43,BIC
cf06226cb8,25,0,0,2,BFC
017a3bf628,1748,1188,411,92,BIC
2b359d8354,0,0,0,0,BIC
30de6c512a,26,3,41,3,BFC
85642f59dd,482,560,680,103,BIC
ff886ebb70,61,13,36,1,BFC
11ae32183f,28,0,9,2,BIC
c96f750558,495,1,15,10,BIC
0bfaf5cdfc,26,6,21,3,BIC
c1a70f31a6,0,3,1,1,BFC
47e96510cc,0,0,1,1,BIC
3eb66fb19c,290,631,1319,294,BIC
3ca4fea578,42,1,3,2,BFC
cd8fc589b9,107,13,52,5,BIC
2585c9f3ff,0,0,2,1,BFC
e92a38af90,1024,808,117,74,BIC
b9c9cddff7,49,0,1,4,BFC
a81ebce804,792,12,85,9,BIC
4e79f49f23,16,3,3,3,BFC
9ba7a8e612,190,11,57,6,BIC
a5402f6863,0,2,0,1,BFC
e2c41af501,1,0,1,1,BIC
64b86331c2,424,47,25,15,BIC
b0db06bad5,37,2,2,3,BFC
71ca2a84ba,852,597,28,17,BIC
f57e0177ff,0,0,1,1,BIC
43c2b2320d,69,7,15,2,BFC
7e86ba8c73,5,1,4,2,BIC
ed2621de84,84,33,38,4,BIC
571264bcc0,20,11,30,2,BFC
fbdd2c0ee8,0,0,3,3,BFC
e30cc70fdd,1864,1780,1119,147,BIC
3ba4e73a90,0,0,1,1,BIC
74b609cf88,31,0,5,2,BFC
5650939a8d,107,38,84,1,BIC
dce5964d8a,0,30,0,1,BIC
d87ffa4bf8,394,0,3,4,BIC
c7c9ef6a63,148,13,20,6,BFC
4ac6ce3190,77,0,17,6,BIC
8cd2942e35,1,0,0,1,BFC
acb185b2dc,128,3,54,3,BIC
ed1f977916,3,1,61,1,BFC
8bff9e1ff5,25,1,8,1,BIC
05a802b3eb,3,0,1,1,BIC
326ab7d577,8,0,11,1,BIC
8b32176c0b,0,0,1,1,BFC
a5430edf83,0,2,0,1,BIC
249c678054,1,1,1,1,BIC
b62cff9fc0,1,1,1,1,BIC
cc5882ab75,450,2,52,17,BIC
2e8a9b98de,384,1,58,15,BIC
68ce463907,2,0,0,1,BIC
886e17c842,10,1,4,1,BFC
5e45cf89eb,2,7,0,1,BIC
0a3f804518,394,112,51,4,BIC
28dab8437f,7,0,2,1,BIC
2b7362de2b,117,4,12,4,BFC
bfedaea2dd,104,0,0,1,BIC
0a30dcd945,94,4,40,7,BIC
26dd4f34cd,101,6,74,2,BIC
0589889950,380,7,43,4,BIC
708cea853c,154,69,107,10,BIC
6efeb6196f,6,0,1,2,BIC
e5addc06d3,14,1,2,2,BFC
eee47902b7,0,2,3,2,BIC
9557559df0,0,1,3,1,BIC
a518f57756,0,101,0,1,BIC
52124d8ebf,64,52,212,65,BIC
e79fcaec7c,47,33,225,55,BIC
abfa458e2a,0,16,0,1,BIC
f70b9571a9,10,11,5,3,BIC
36b17aab62,479,114,372,80,BIC
8b241d9230,62,9,31,4,BIC
f19e8c58fb,98,651,296,94,BIC
2635ac0cf7,46,18,69,2,BIC
071104c07d,0,0,6,1,BIC
4140f73774,0,8,7,2,BIC
1aa40cd395,59,3,13,9,BIC
40b3f06f9d,166,0,1,2,BFC
f7707d7d91,27,6,4,2,BFC
135d89c4bd,46,97,37,12,BIC
f50e4dbf51,68,0,2,2,BFC
0810107d1f,1404,559,103,8,BIC
e312ee6bfa,75,2,5,3,BFC
ab8f8f994f,173,75,21,8,BIC
b20968241a,138,37,154,7,BIC
5fca7fc938,17,7,10,4,BIC
6aea26168a,0,0,13,3,BIC
f389654f9c,17,0,1,1,BIC
e7294aab77,1086,188,50,16,BIC
00b29b4298,3,39,281,3,BFC
2d4e789d00,3912,260,192,45,BIC
232aaa42ed,4,0,2,1,BFC
f5b5d3e17f,171,110,71,25,BIC
2c34cb858e,28,0,2,2,BFC
e6231ad585,106,11,36,4,BIC
e61398084d,941,187,198,34,BIC
145772accb,52,3,5,5,BFC
0756041335,0,5,0,1,BIC
5f618b8000,11,1,2,3,BIC
52d2d3fd6f,0,0,0,0,BIC
f33c2917e3,0,2,1,1,BIC
c672b56305,3,4,10,2,BFC
aa22ceb97d,2116,279,567,19,BIC
d6b40cc39a,3,9,8,1,BFC
86d4a61797,29,0,1,2,BFC
0dec2d1017,106,0,6,6,BIC
fa52907742,116,0,0,2,BIC
3b2e04d6a9,143,2,6,4,BIC
a181dc0735,0,0,0,0,BIC
a7f879db76,1,0,12,1,BFC
be0bb552ee,1,0,1,1,BIC
0ce6e9a694,441,49,25,16,BIC
5e87b67337,4,3,2,1,BIC
cd49552b57,30,0,4,1,BIC
6b33a8c593,204,9,27,3,BFC
3865e131cb,47,0,4,2,BIC
e4ed871c5e,35,0,4,2,BFC
f61d232630,251,30,81,4,BIC
225459815c,79,0,1,2,BFC
a9670cc6e7,74,12,33,6,BIC
7e4603a988,57,5,31,2,BFC
50baab7c4b,126,8,13,4,BIC
34a47e66ca,58,0,1,2,BFC
27d68500ee,9,0,4,1,BIC
e584e3a060,20,0,8,1,BFC
f60122e08d,433,7,61,5,BIC
3cf40619ca,29,1,23,2,BFC
9d4bd1f350,17,32,6,2,BIC
936aa1dcfc,140,10,41,2,BFC
bf00c1a0a7,16,0,17,1,BFC
b221a53496,791,775,343,24,BIC
45196378d3,0,2,3,1,BIC
8571b92efd,0,8,30,9,BIC
29b23f9166,109,0,0,3,BIC
60f161fd9b,14,0,6,2,BFC
c97a92dcc3,23,0,8,2,BFC
c8261a41d3,12,1,33,1,BIC
4c83c2200c,148,52,9,3,BFC
029b34be9e,0,0,2,1,BIC
9b255d6cc4,12,0,8,2,BIC
7cde848e37,0,2,5,2,BIC
ff83497b27,1312,84,275,11,BIC
4e73212034,2,0,4,1,BFC
9ba13dea31,42,0,16,2,BIC
602a1f50e7,93,4,3,3,BFC
fdeb323243,83,4,60,5,BIC
b5823b50db,39,3,3,1,BFC
7053a99f49,27,10,13,2,BIC
18256fc287,32,0,2,2,BFC
0442747f05,37,45,79,12,BIC
89c65af2a6,0,3,3,1,BFC
093a8ce57c,53,66,73,46,BIC
51b131950d,80,0,1,2,BFC
57b47fed01,112,12,63,15,BIC
9ab76a1e41,9,3,9,1,BFC
ce172acb8f,728,710,585,74,BIC
d0156b1126,6,0,11,3,BIC
3b57a5a624,91,0,1,2,BFC
229229a3c0,37,86,46,2,BIC
51fde1cbf9,11,4,2,2,BFC
f342cd14df,7,2,8,3,BFC
e3ba95b8b8,24,40,10,5,BIC
60ce8d7c54,6,1,5,2,BFC
79d1b8c227,78,0,0,1,BIC
844ca4a348,614,1,35,9,BIC
e152575f5e,0,0,1,1,BFC
36183cad87,1,3,1,1,BIC
07be2c42ba,1274,65,118,25,BIC
75e69c5198,0,0,1,1,BFC
001a3ca55b,55,39,30,14,BIC
e2521b2a8b,105,0,0,2,BFC
067fb25e43,153,24,71,15,BIC
89f68fbb,0,0,4,2,BFC
c95c809a,1866,913,416,71,BIC
97e3f904,0,0,2,1,BFC
a77190db,64,1,18,3,BIC
3d1fe287,125,1,16,2,BFC
81039015,60,64,173,3,BIC
0a6f83e6,17,1,1,2,BFC
81ce22b6,5540,228,151,42,BIC
87040a1f,32,11,56,10,BIC
e0b7cde7,61,0,17,4,BFC
c7fa12bb,127,0,2,3,BIC
d2a98a11,8,1,5,1,BFC
ca01c283,1387,0,7,18,BIC
3276633f,18,7,6,3,BIC
7cebc260,38,3,1,2,BFC
ef513d28,74,6,27,2,BIC
19014354,24,3,2,1,BFC
fc9aeb13,88,0,6,3,BIC
57152acd,52,1,21,3,BFC
78c86996,84,0,53,2,BIC
eba0f036,117,1,0,4,BFC
c5f5f9d6,30,0,8,1,BIC
1b46fd92,0,0,1,1,BFC
0c90b8c3,234,0,7,5,BIC
f83f484a,41,11,7,10,BFC
6aa84761,43,0,0,2,BIC
72ee2589,14,0,0,1,BFC
e86b96d4,12,0,2,6,BIC
3e20533b,119,55,26,17,BIC
44af3a3c,0,28,0,1,BIC
0f086d41,222,0,15,3,BIC
d330d406,121,48,96,6,BFC
70a5ffe4,149,18,32,5,BIC
aebf775a,21,0,2,2,BFC
23831e85,0,0,2,1,BFC
396fcc6c,7,0,0,1,BIC
b5524c90,1,0,2,1,BFC
10549ef2,2,0,2,1,BIC
b074b2ce,249,26,175,9,BIC
6aefbc71,0,2,1,1,BFC
0f4b0181,2878,360,256,57,BIC
746be5c2,62,1,19,3,BFC
b54417b7,1,6,6,2,BIC
d929be9f,14,0,1,2,BFC
4bd777e5,183,1,5,4,BIC
07fa74f4,186,6,18,11,BFC
2fc2fc9e,408,156,226,81,BIC
90c06857,324,2,16,11,BIC
0e0aa499,13,3,15,1,BFC
56fd858d,28,0,0,1,BIC
c270a20c,2,0,2,1,BFC
cbb1eac9,156,0,6,7,BIC
6d4a9d0e,0,0,2,1,BIC
75da42b7,2,1,2,3,BFC
12ef6147,57,0,3,2,BIC
cd91b960,49,3,25,2,BFC
605ed64f,139,17,69,10,BIC
3ddd8249,2,23,16,4,BFC
e2090113,505,1,9,10,BIC
92f4079e,8,0,6,1,BFC
8ca266fa,193,41,126,3,BIC
0439fbb0,0,6,7,1,BFC
872db60c,57,3,34,4,BIC
db11ab35,142,1,1,3,BFC
cc4b4398,799,2,42,15,BIC
55c15b2f,1,5,0,1,BFC
222b0145,11,0,15,1,BFC
b66a2dc7,2,0,1,2,BFC
57d1762e,0,0,1,1,BIC
4fe13711,7,0,2,1,BFC
109f41c6,91,3,3,2,BIC
5940a376,9,62,80,11,BFC
9df0de78,695,208,124,25,BIC
783d56e5,5,4,6,2,BFC
f97be5d5,3,1,4,2,BIC
4249aaee,155,3,40,12,BIC
89d108d7,4,11,15,2,BFC
24fedae6,62,8,30,3,BIC
a98c7f89,66,0,15,2,BFC
dc56aaee,155,0,0,2,BIC
438ffd8a,0,0,0,0,BFC
fd14a1db,0,0,0,0,BIC
6dc33ba1,0,1,0,1,BFC
283cf1c2,166,0,3,4,BIC
7cf82d31,90,11,3,5,BFC
43480c12,55,0,9,2,BFC
4637ca41,0,0,9,1,BIC
